price,title,url
95000,"Mackbook pro Core I7 ,2015 model in solid condition, with 500gb SSD",https://www.olx.in/item/mackbook-pro-core-i7-2015-model-in-solid-condition-with-500gb-ssd-ID1mlUG5.html
750,Pest Repellent brand new want to sale,https://www.olx.in/item/pest-repellent-brand-new-want-to-sale-ID1mlUGW.html
3500,Car amplifier,https://www.olx.in/item/car-amplifier-ID1mlULd.html
40000,Black And Gray Corded Headphones,https://www.olx.in/item/black-and-gray-corded-headphones-ID1mlUKX.html
15000,Tv console without tv having four drawers having,https://www.olx.in/item/tv-console-without-tv-having-four-drawers-having-ID1mlUID.html
3500,Philips DVD player with HDMI port in mint,https://www.olx.in/item/philips-dvd-player-with-hdmi-port-in-mint-ID1mlUwx.html
250,Brand new watch.,https://www.olx.in/item/brand-new-watch-ID1mlUR5.html
16999,"|| 5 Years Warranty || LED Tv 42"" INCHES SMART// Android 4K U Tube",https://www.olx.in/item/5-years-warranty-led-tv-42-inches-smart-android-4k-u-tube-ID1mfUl9.html
9666,32 inches smart :) 4'4 android tv mobile coant,https://www.olx.in/item/32-inches-smart-44-android-tv-mobile-coant-ID1mlHht.html
2500,Soni car amplifier Bluetooth,https://www.olx.in/item/soni-car-amplifier-bluetooth-ID1mlUUN.html
800,Black And Gray 2-way Speaker,https://www.olx.in/item/black-and-gray-2-way-speaker-ID1mlTKd.html
17000,Philips home theater DTS 120w model no 6600/98,https://www.olx.in/item/philips-home-theater-dts-120w-model-no-6600-98-ID1mlTIf.html
26999,Sony smart 50 inch led TV full hd brand new with warranty,https://www.olx.in/item/sony-smart-50-inch-led-tv-full-hd-brand-new-with-warranty-ID1kf4QH.html
11499,32 inch Smart + Android LED TV with 1 Year Warranty,https://www.olx.in/item/32-inch-smart-android-led-tv-with-1-year-warranty-ID1jKtkB.html
4000,Black And Gray CRT TV,https://www.olx.in/item/black-and-gray-crt-tv-ID1mlTJj.html
1500,5.1 melbon home theater 4month old,https://www.olx.in/item/5-1-melbon-home-theater-4month-old-ID1mlTNb.html
1500,Gray And Black CRT TV,https://www.olx.in/item/gray-and-black-crt-tv-ID1mlTPh.html
1400,New Jbl Sonilex fully New,https://www.olx.in/item/new-jbl-sonilex-fully-new-ID1lMFbT.html
2500,Black Amazon Fire TV Stick With Box,https://www.olx.in/item/black-amazon-fire-tv-stick-with-box-ID1mlTOt.html
950,Brown JBL Case,https://www.olx.in/item/brown-jbl-case-ID1mlTQL.html
